,0,1
306,그러게 이번 주 전주 비 오는지 알려줄래,0
307,충청도 주변 산책로 알려줘,2
308,촬영장 있지 않을까,2
309,금요일 해 뜰까,0
310,추억 사진 찍 수 있는 여행지 알려줄래,2
311,단풍구경 갈래,2
312,ㅋㅋ 오늘 천안시 날씨 뭐야,0
313,짬뽕집 어디,1
314,진안 미세먼지 알 수 있을까,3
315,지금 날씨 어떤데,0
316,오늘 광양 공기 미세먼지,3
317,양주 공기 미세먼지,3
318,서울 마포 우산 쓸까,0
319,화요일 미세먼지 심하겠지 글쎄,3
320,월요일 부평구 날씨 어때,0
321,충청북도 근처 계곡 알려주세요,2
322,월요일 인제 비오니,0
323,서울 들려야 하는 여행지 알려줘,2
324,서울 근처 강 알고싶어,2
325,성주 날씨 덥니,0
326,남양주 날씨 흐리냐,0
327,가평 날씨 맑냐,0
328,연천 꼭 가봐야 하는 명소 알고싶어,2
329,아름다운 셀카 찍을만한 휴양지 알려주세요,2
330,정읍 관광 할만 한 명소 알려주세요,2
331,송파구 치킨 집 알려주세요,1
332,추억 셀카 찍 수 있는 여행지 알고싶어,2
333,유명한 야구장 여행지 추천해 줘요,2
334,야채 죽 맛있는 곳 어디,1
335,영주 맥주 맛집 알려줘,1
336,그럼 온천 여행지 어디 있니,2
337,영양 방송 나온 식당 추천해 주라,1
338,인생 사진 촬영 할만 한 휴양지 알려줄래,2
339,서울 중랑 마스크 필요하니,3
340,좋은 사진 찍기 좋은 휴양지 알려줄래,2
341,김포 가기 좋은 명소 알고싶어,2
342,통영시 스모그 미세먼지,3
343,진천 들려야 하는 기념관 어디 있니,2
344,충청도 근처 바다 추천해 줘,2
345,남해 가볼만 한 명소 추천해 줘,2
346,아름다운 셀카 찍기 좋은 휴양지 알려줄래,2
347,송파구 떡갈비 집 추천 해주라,1
348,광양 설마 마스크 써야 할까,3
349,화천 마스크 필요할까,3
350,태안 마스크 챙겨야 할까,3
351,장흥 돈까스 맛집 알려주세요,1
352,용산구 주변 계곡 추천해 줘,2
353,구례 관광 해볼만 한 명소 추천 ㅎ,2
354,성동구 맛있게 하는 빵집 어디 있냐,1
355,함안 날씨 춥냐,0
356,오늘 마스크 써야 하니,3
357,동작구 근처 여행지 알려줘,2
358,근처 잘 하는 식당 알려줘,1
359,전라남도 주변 바닷가 알려주세요,2
360,경기도 날씨 알려주세요,0
361,괜찮게 하는 팔보채 추천해 주세요,1
362,해남 가볼만 한 테마 파크 어디 있니,2
363,전주 1월 30일 미세먼지 ㅎ,3
364,공기 미세먼지 지금,3
365,거리상 짧은 여행지,2
366,평창 미세먼지 어떤지 부탁 합니다,3
367,강동구 인기 많은 돼지 갈비 추천해 줘,1
368,제주도 눈 올지 말해 줘봐,0
369,구로구 맥주 집 어디 있냐,1
370,주변 제일 맛있게 하는 식당 추천해 주라,1
371,서울 근처 단풍 추천해 주라,2
372,고추장 불고기 식당 어디니,1
373,전라북도 근처 벚꽃 어디 있냐,2
374,오늘 화천 ㅋㅋ 미세먼지,3
375,아름다운 셀카 찍을만한 여행지 알려줘,2
376,홍천 그럼 공기상태,3
377,여수 꼭 들려야 하는 명소 알고싶어,2
378,괴산 꼭 들려야 하는 관광지 알려줘,2
379,경상도 주변 경치 알려줘,2
380,괜찮은 새우 맛집,1
381,진주 갈만 한 미술관 추천해 줘,2
382,인천 왔는데 담백한 맛집 먹을까 ㅎㅎ,1
383,홍대 담백한 맛집 추천해줘,1
384,가까운 스파 여행지 알려주라,2
385,인생 사진 찍기 좋은 휴양지 알려줘,2
386,영덕 우동 맛집 알려주세요,1
387,수요일 군산 가려는데 미세먼지 알려줘,3
388,은평구 방송 나온 팥빙수 추천해 줘,1
389,포천 미세먼지 어떨까,3
390,중랑구 산 낙지 맛있는 곳 추천,1
391,아하 영월 덥냐,0
392,고양 마스크 챙겨야해,3
393,광주 잘 하는 맛집 알려주세요,1
394,장수 중국집 알려주라,1
395,김해 꼭 들려야 하는 공원 추천해 줘,2
396,충청남도 주변 여행지 어디 있니,2
397,청도 미세먼지,3
398,사진 촬영 할만 한 여행지 어디 있니,2
399,아 거제 쫄면 알려줄래,1
400,아름다운 셀카 찍기 좋은 휴양지 추천해 주세요,2
401,홍천 날씨 맑을까,0
402,오전 청양 날씨 흐리냐,0
403,부산 구로구 미세먼지 어떨까,3
404,그니까 울산 이번 주 비 오니,0
405,가볼만 한 쇼핑 여행지 어디 있냐,2
406,괴산 맛있게 하는 맛집 알고싶어,1
407,의령 날씨 추울까,0
408,구리 우산 필요하니,0
409,서울 송파구 닭꼬치 어디 있니,1
410,가까운 템플스테이 여행지 알려주면 좋겠어요,2
411,충주 마스크 챙길까,3
412,다음 주 전주 미세먼지 심하려나 ㅋㅋ,3
413,단풍놀이 공연 모두 알려주세요,2
414,충청도 주변 갈대 어디 있냐,2
415,진안 비 올까,0
416,이번 주 강릉 맑아 ㅋㅋ,3
417,설성면 괜찮은 등산로 있는지 모르겠는데 해결 좀 해줘,2
418,울산 마스크 챙길까 고민 돼,3
419,구례 가려는데 미세먼지 어때,3
420,경상도 근처 산책로 어디 있냐,2
421,유명한 근처 짜글이 길거리 알려줘,1
422,경상북도 근처 여행지 어디 있니,2
423,아산 샐러드 바 어디 있냐,1
424,진주 죽집 알려주세요,1
425,영천 월요일 하늘 미세먼지,3
426,이번 주 삼척 미세먼지 상태 미세먼지,3
427,강서구 빵집 알려주세요,1
428,아니 김천 순대 맛집 알려줄래,1
429,서울 영등포구 곱창 맛집 알려주라,1
430,안면도 가려는데 ㅋㅋ 오늘 날씨 알려줄래,0
431,유명한 의령 미술관 보여줘 봐요,2
432,서울 중랑구 우산 챙겨야 할까,0
433,광양 미세먼지,3
434,오전 안산 우산 써야 할까,0
435,강북구 떡갈비 집 알려줄래,1
436,그럼 오늘 영동 눈 오냐,0
437,동작구 주변 갈대 알려줘,2
438,정읍 공기,3
439,강원도 오존 심할지 알고싶어,3
440,충남 홍성 날씨 말해줄래 아니,0
441,그 때 혹시 미세먼지,3
442,강릉 날씨 춥냐,0
443,모레 전북 마스크 써야 하니,3
444,4월 12일 미세먼지 심하면 안 되겠다,3
445,거제 볼 만 한 공 원장 알려주세요,2
446,그러면 서울 광진구 날씨 맑냐,0
447,설마 내일 정선 미세먼지,3
448,영천 날씨 더울까,0
449,밀양 미세먼지 어떨까,3
450,당진 그러면 마스크 써야하니,3
451,서울 중구 미세먼지 어떨까,3
452,그럼 강남 미세먼지 심할까,3
453,경기도 오존 심할지 말해 주세요,3
454,충청도 근처 벚꽃 알려줘,2
455,용인 죽집 추천해 줘,1
456,사진 찍 수 있는 휴양지 알려줘,2
457,서울 은평구 김밥 맛집 알려주라,1
458,주변 괜찮은 맛집 추천해 주세요,1
459,괴산 볼 만 한 페스티벌 알려주세요,2
460,전라남도 근처 경치 알려주라,2
461,이번 주 과천 황사 오니,3
462,대전 강동구 마스크 가져가야하니,3
463,나 화요일 여행가는데 미세먼지 알려줘,3
464,장흥 눈 오냐,0
465,경상남도 근처 여행지 추천해 주세요,2
466,근처 제일 맛있는 맛집 알려주라,1
467,인제 피자 맛집 알려줘,1
468,진짜 영덕 그 때 더울까,0
469,임실 맛있게 하는 소고기 알고싶어,1
470,안성 공기 미세먼지,3
471,나주 날씨 알 수 있을까,0
472,대구 용산구 미세먼지,3
473,예산 돈까스 집 추천해 줘,1
474,충청도 주변 갈대 알려줄래,2
475,모레 울릉 공기 미세먼지,3
476,연제구 민속놀이 배우고 싶어,2
477,광진구 제일 맛있는 육회 알려줄래,1
478,미세먼지 어떠니,3
479,서귀포 토요일 미세먼지,3
480,내일 강원도 화천군 날씨 알려줄래 좀,0
481,담양 비오냐,0
482,할 수 있는 단풍 구경 여행지 알고싶어,2
483,경상북도 주변 산책로 알려주세요,2
484,경상남도 주변 산책로 알려줘,2
485,경기도 근처 여행지 알려줘,2
486,수요일 함안군 날씨 어때,0
487,결국 내일모레 대구광역시 날씨 알려줘,0
488,글쎄 증평 덥냐,0
489,미세먼지 어떠려나,3
490,강남구 유명한 햄버거 추천해 주세요,1
491,경상남도 주변 바다 알려줄래,2
492,계룡 놀 만 한 관광지 추천해 주라,2
493,서울 관광지 궁금하네 알려줘,2
494,송파구 라멘 집 알려줘,1
495,아 서울 관악구 날씨 맑을까,0
496,전주 황사 어떤지 좀 말해줘,3
497,도봉구 근처 갯벌 어디 있냐,2
498,정선 가기 좋은 박물관 추천 해줘,2
499,전라남도 주변 갈대 알고싶어,2
500,인기 많은 가츠동 알고싶어,1
501,영암 오존 올까,3
502,중랑구 방송 나온 새우 튀김 추천해 주라,1
503,증평 가까운 페스티벌 어디 있니,2
504,인기 있는 분식 알고싶어,1
505,좋은 셀카 찍을만한 여행지 추천해 ㅎ,2
506,인생 사진 찍 수 있는 휴양지 추천해 주세요,2
507,청양 꼭 가봐야 하는 동물원 어디 있니,2
508,거제 빙수 식당 어디 있니,1
509,괜찮은 마카롱 거리 알려줘,1
510,강남 주변 요리 알려줘,1
511,소문난 튀김 알려주라,1
512,양주 눈 올지 알려줄래,0
513,오랜만 광주 여행한다 어디 갈지 말해줘,2
514,울진 가봐야 하는 관광지 추천해 주라,2
515,경기 안양 여행지 알려주세요,2
516,상쾌한 여행지,2
517,제주도 근처 여행지 알려줘,2
518,강동구 근처 꽃 알려줄래,2
519,경상북도 근처 강 추천해 줘,2
520,논산 비 올까,0
521,익산 돈까스 집 추천해 주라,1
522,이번 주 인천 공기 황사 오니 ㅋㅋ,3
523,이천 마스크 챙겨야 하니,3
524,인생 셀카 찍을만한 휴양지 추천해 줘,2
525,도봉구 인기 있는 죽집 알려줄래,1
526,경상북도 황사 심할지 말해 줘,3
527,남원 가까운 명소 추천해 주세요,2
528,9월 11일 동대문 날씨 뭐야,0
529,추억 셀카 찍기 좋은 휴양지 추천해 주라,2
530,안산 미세먼지,3
531,광주 이번 주 눈 오려나,0
532,서산 마스크 써야하니,3
533,일요일 먼지 알려주세요,3
534,합천 뷔페 어디 있니,1
535,원주 마스크 챙길까,3
536,해남 갈비 맛집 알려줘,1
537,경산 가기 좋은 거리 추천 해주세요,2
538,양주 날씨 춥니,0
539,남원 잘 하는 샐러드 추천해 주세요,1
540,논산 잘 하는 김밥 추천해 줘,1
541,괜찮은 달달한 브런치 카페 추천 좀,1
542,모레 먼지 궁금해,3
543,제주도 주변 바다 알려줘,2
544,서울 용산구 죽집 알려주세요,1
545,비빔국수 핫한 레스토랑 어디인지,1
546,충청도 주변 휴양지 어디 있냐,2
547,그럼 인제 미세먼지 심할지 부탁 해,3
548,결국 오늘 삼척시 미세먼지 알려줘,3
549,청도 눈 올까,0
550,태안 마스크 필요해,3
551,모레 삼척 아니 우산 챙겨야 할까,0
552,추억 셀카 찍 수 있는 휴양지 알려줘,2
553,하여튼 서울 도봉구 날씨 흐리니,0
554,양주 마스크 챙겨야해,3
555,과천 관광 해볼만 한 백화점 알려줘,2
556,창원 날씨 덥니,0
557,서울 금천구 후라이드 추천 해줘,1
558,봉화 우산 써야 할까,0
559,밀면 명소,1
560,목요일 음 화천 공기 미세먼지,3
561,정읍 더울까,0
562,동해 꼭 가봐야 하는 먹거리 추천 해주라,2
563,영동 미세먼지 어떨까,3
564,거제 날씨 흐릴까,0
565,정선 돈까스 맛집 알고싶어,1
566,구리 가기 좋은 음악회 어디 있냐,2
567,용인 관광 할만 한 명소 알려줄래,2
568,춘천 돈까스 맛집 알려줘,1
569,야 제주도 국수 맛집 추천해 줘,1
570,창녕 파스타 무한리필 추천해주겠니,1
571,고창 미세먼지,3
572,예산 볼 만 한 명소 알려줘,2
573,이제 서울 동대문구 눈 올까,0
574,양구 우산 필요할까,0
575,영주 가봐야 하는 페스티벌 알려줄래,2
576,오늘 마스크 써야 하니,3
577,거창 놀 만 한 명소 알려줘,2
578,경상남도 주변 꽃 알려줄래,2
579,전라남도 주변 휴양지 알고싶어,2
580,근처 잘 하는 식당 알려주세요,1
581,8월 서울 날씨 ㅎ,0
582,대구 미세먼지,3
583,인기 많은 과자 어디 있니,1
584,서울 동작구 인기 많은 피자 집 알려줘,1
585,오늘 경리단길 가는데 황사 미세먼지,3
586,경산 날씨 어떠니,0
587,서울 종로구 빵 추천 해주세요,1
588,금요일 목포 그면 미세먼지,3
589,중랑구 떡갈비 집 알려주라,1
590,12월 24일 양구 미세먼지 ㅎ,3
591,유명한 깨끗한 시장 여행지 어디 있을까,2
592,서울 오존 어떤지 알고싶어,3
593,음 합천 비 올까,0
594,홍성 날씨 추울까,0
595,서울 금천구 떡볶이 어디 있냐,1
596,함양 놀 만 한 명소 알려주라,2
597,부안 가까운 사찰 알려주라,2
598,내일모레 홍천 미세먼지 말해줘 좀,3
599,포천 미세먼지,3
600,나주 그러게 날씨 덥니,0
601,중랑구 잘 하는 김치 알려줄래,1
602,광주 공기 미세먼지,3
603,울산 이번 주 바람 불어,0
604,내일모레 강북구 미세먼지 말해줘,3
605,하동 우산 써야 할까,0
606,오늘 성남 미세먼지 알려주세요,3
607,노원구 날씨 궁금하네,0
608,닭고기 본점 어디 없나,1
609,ㅋㅋㅋ 남양주 우산 챙길까,0
610,모레 예천 혹시 덥니,0
611,영월 죽집 어디 있냐,1
612,화요일 하 서천 맑을까,0
613,안산 피자 맛집 알려줄래,1
614,시흥 잘 하는 우동 집 알려줄래,1
615,경상북도 주변 갯벌 알려줘,2
616,시흥 돈까스 집 알려줘,1
617,전라북도 눈 오는지 알고싶어,0
618,서울 용산구 흐릴까,0
619,모레 비오니,0
620,무서운 놀이동산 있나요,2
621,파주 미세먼지 심할지 말해 줘,3
622,부천 인기 많은 스파게티 추천 해주세요,1
623,울릉도 가려는데 수요일 날씨 알려줘,0
624,보은 추울까,0
625,전주 날씨 한 번 알려줘,0
626,해남 미세먼지,3
627,함평 유명한 시장 추천 해주라,2
628,사천 우산 챙겨야 할까,0
629,내일 하 신안 덥니,0
630,서울 종로구 짬뽕 알고싶어,1
631,분식 음식점 어디,1
632,충청남도 비 오는지 말해 줄 수 있니,0
633,강남구 분식집 추천 해주라,1
634,인기 많은 볶음밥 알려주라,1
635,경상남도 비 올지 알고싶어,0
636,가기 좋은 스파 휴양지 알려주라,2
637,익산 관광 해볼만 한 관광지 어디 있냐,2
638,해남 가려는데 날씨 어때,0
639,아니 군산시 옥서면 공기 말해줄래,3
640,속초 맑냐,0
641,동두천 들려야 하는 명소 알고싶어,2
642,군위 흐리려나,0
643,진짜 서울 강남구 마스크 챙길까,3
644,대전 관악구 미세먼지,3
645,안양 소문난 맥주 집 알려줘,1
646,가기 좋은 벚꽃 놀이 여행지 어디 있냐,2
647,용인 어떨지,3
648,아름다운 사진 찍기 좋은 휴양지 추천해 ㅇㅇ,2
649,양주 현재 하늘 구름 많니,0
650,창원 미세먼지,3
651,서초구 소문난 돼지 갈비 추천해 주세요,1
652,수요일 동두천 먼지 궁금해요,3
653,오늘 강원 원주시 가는데 날씨 알려줄래,0
654,여주 다음 주 미세먼지 알려줄래,3
655,시원한 맥주 잘하는 명소 어디니,1
